level multiplicity entropy signed
0.6445981635 12 3.505429953 0
0.6495389629 12 3.501983247 0
0.6544797623 12 3.498243334 0
0.6594205618 12 3.494172518 0
0.6643613612 12 3.489726575 0
0.6693021606 12 3.484852982 0
0.67424296 12 3.479489072 0
0.6791837595 12 3.473559249 0
0.6841245589 12 3.466971422 0
0.6890653583 12 3.459612602 0
0.6940061578 12 3.451341742 0
0.6989469572 12 3.441981296 0
0.7038877566 12 3.431303134 0
0.708828556 12 3.419009665 0
0.7137693555 12 3.404703826 0
0.7187101549 12 3.387842185 0
0.7236509543 12 3.367657181 0
0.7285917538 12 3.343022 0
0.7335325532 12 3.312197103 0
0.7384733526 12 3.272310231 0
0.743414152 12 3.218134749 0
0.7483549515 12 3.138602121 0
0.7532957509 12 3.002225668 0
0.7681181492 8 2.99558693 0
0.7730589486 8 2.995423066 0
0.777999748 8 2.995245693 0
0.7829405475 8 2.995053345 0
0.7878813469 8 2.994844371 0
0.7928221463 8 2.994616814 0
0.7977629458 8 2.994368511 0
0.8027037452 8 2.99409685 0
0.8076445446 8 2.99379893 0
0.812585344 8 2.99347123 0
0.8175261435 8 2.993109715 0
0.8224669429 8 2.992709561 0
0.8274077423 8 2.992265081 0
0.8323485418 8 2.99176947 0
0.8372893412 8 2.991214478 0
0.8422301406 8 2.990590166 0
0.84717094 8 2.98988438 0
0.8521117395 8 2.989082055 0
0.8570525389 8 2.988164438 0
0.8619933383 8 2.987107859 0
0.8669341378 8 2.98588215 0
0.8718749372 8 2.984448192 0
0.8768157366 8 2.982754543 0
0.881756536 8 2.980732515 0
0.8866973355 8 2.97828799 0
0.8916381349 8 2.975289471 0
0.8965789343 8 2.971547563 0
0.9015197338 8 2.966780211 0
0.9064605332 8 2.960549005 0
0.9114013326 8 2.952134155 0
0.9163421321 8 2.940265752 0
0.9212829315 8 2.922453734 0
0.9262237309 8 2.892940885 0
0.9311645303 8 2.833504383 0
0.9509277281 4 1.999357353 0
0.9558685275 4 1.999171782 0
0.9608093269 4 1.998876801 0
0.9657501263 4 1.998368033 0
0.9706909258 4 1.997377526 0
